#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:cluster11" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:cluster11" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:cluster11" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:cluster11" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:cluster11">
#                    <trait id="dateTrait.t:cluster11" spec="beast.evolution.tree.TraitSet" traitname="date">
#                ERR3198398_Europe_UK_2012.33606557377=2012.33606557377,
#NQSH01_Asia_China_2015.38904109589=2015.38904109589,
#NQSG01_Asia_China_2015.25205479452=2015.25205479452,
#NQSD01_Asia_China_2013.57260273973=2013.57260273973,
#12078_1#62_Europe_UK_2012.94808743169=2012.94808743169,
#SRR7800410_NorthAmerica_USA_2016.79781420765=2016.79781420765,
#12163_2#87_Europe_UK_2012.92349726776=2012.92349726776,
#NQSF01_Asia_China_2015.24931506849=2015.24931506849,
#10665_4#49_Europe_UK_2006.50136986301=2006.50136986301,
#NQSU01_Asia_China_2012.43715846995=2012.43715846995,
#10625_4#79_Europe_UK_2010.87671232877=2010.87671232877,
#12163_2#84_Europe_UK_2011.64657534247=2011.64657534247,
#12163_1#82_Europe_UK_2011.83561643836=2011.83561643836,
#SRR7800482_NorthAmerica_USA_2015.80273972603=2015.80273972603,
#NQSE01_Asia_China_2012.49726775956=2012.49726775956,
#12082_5#69_Europe_UK_2012.75956284153=2012.75956284153                
#                                    <taxa id="TaxonSet.cluster11" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.cluster11"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:cluster11" jeffreys="true" parameter="@bPopSizes.t:cluster11" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="KappaPrior.s:cluster11" name="distribution">
#            <parameter id="kappa.s:cluster11" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:cluster11" name="distribution">
#            <parameter id="ucldMean.c:cluster11" name="x">0.015</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" meanInRealSpace="true" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">0.015</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">0.5</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:cluster11" name="distribution">
#            <parameter id="ucldStdev.c:cluster11" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@cluster11" id="treeLikelihood.cluster11" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:cluster11">
#            <siteModel id="SiteModel.s:cluster11" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:cluster11" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:cluster11" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:cluster11" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:cluster11" kappa="@kappa.s:cluster11" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:cluster11" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:cluster11" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:cluster11" id="RelaxedClock.c:cluster11" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:cluster11">
#                <LogNormal S="@ucldStdev.c:cluster11" id="LogNormalDistributionModel.c:cluster11" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="30" id="rateCategories.c:cluster11" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	-1172.8268483549448	-1084.794497660179	-88.0323506947656	-1084.794497660179	23.480362707088027	4.232440337224985	0.007905546727480882	0.37746024405768464	0.007314915747164501	4.053291468674682E-6	0.2803499114287706	-63.25732264187101	199.172053099173	137.20686114504775	88.21740012274925	41.101729831608075	7.736815156930548	2	1	1	5	6	0.18801304468082927	0.3447936967927971	0.2718336706468691	0.19535958787950364	
100000	-1158.0946539260678	-1089.933361485057	-68.16129244101077	-1089.933361485057	13.633488489283168	3.4196941262874665	0.012297120779179478	0.2391490384667581	0.012523822627664723	1.0213594345912054E-5	0.2514757234451535	-49.16392579354907	33.73545836538457	120.45523972376765	19.228271408751407	5.17748575460591	2.04836793539207	1	2	6	3	3	0.2113467554092216	0.3447234918947131	0.2297413655428446	0.21418838715321978	
200000	-1159.5754318730033	-1083.9023220309407	-75.67310984206263	-1083.9023220309407	17.81031046619679	4.304840492657638	0.012427087273878335	0.5926699497339115	0.014004641942792807	7.297881309926868E-5	0.6500015201673589	-54.45042941125625	27.656261721134207	78.11014878031604	40.097001640583855	13.003816626115448	6.515393360653605	1	1	6	2	5	0.18726790988232897	0.3483574481313194	0.29580577710301403	0.1685688648833366	
300000	-1142.148736332677	-1079.4614711028971	-62.68726522977977	-1079.4614711028971	10.584746648412965	4.0688038900565315	0.023966878734728723	0.7101332663979312	0.023367245933519822	2.8621452379690854E-4	0.7899864113716817	-41.07868923866156	498.7556056484188	6.906372383701022	2.4189192933117853	6.423138490373876	0.07355789287357209	3	2	7	2	1	0.19608772628421467	0.33254634837353203	0.2776178420395346	0.1937480833027178	
400000	-1151.8707667295118	-1077.1963970781858	-74.67436965132607	-1077.1963970781858	14.262810714077673	4.659586568039643	0.012257940259083817	0.751524262762339	0.01298655821768708	1.270323928264685E-4	0.7791735311098325	-57.83078260203156	92.59227912479749	5.875052837188094	2.9773925961985164	2.762790197122354	5.486328439952989	6	1	2	5	1	0.20352409714894407	0.351853751477588	0.25859881979559884	0.18602333157786827	
500000	-1153.8429584110718	-1085.7080309026417	-68.13492750843022	-1085.7080309026417	16.036398525171524	3.4079445880633314	0.013147978359769268	0.14747792920683275	0.01235473072917	2.6790003249119894E-6	0.12942799783716913	-49.79305912507426	51.97438515673233	99.28334420438021	25.127730773552294	1.9908198638763783	3.8314159200945896	1	3	1	3	7	0.18982775789798906	0.32486870907340826	0.2976703007065575	0.1876332323220444	
600000	-1161.2762419121943	-1081.7423805523317	-79.53386135986266	-1081.7423805523317	22.707053538370616	3.597921795669634	0.009306553164263607	0.34497654577596726	0.009157377259991918	1.257806782952308E-5	0.4030517174691799	-60.3527988241706	186.31639928824904	19.812248555117492	5.809159743318158	10.945410356665494	7.300175635199285	5	3	1	4	2	0.1765854309409451	0.322278598522947	0.3081385906173172	0.19299737991879	
700000	-1154.571399570334	-1088.366617274751	-66.20478229558304	-1088.366617274751	12.835271450542066	4.207525066263939	0.016815745362027183	0.2804700424094493	0.016973596832745002	2.7051627355650826E-5	0.3035601464600839	-48.780884360332415	45.86926207926443	32.86860797239258	20.16182456232298	5.139554008843744	5.300196978716287	3	1	2	4	5	0.17951874096628798	0.3379376455516948	0.3109776970422619	0.17156591643975466	
800000	-1150.3345037754339	-1081.4486050616836	-68.88589871375024	-1081.4486050616836	13.855653408826427	4.502697993925595	0.01553933912228759	0.5516410026200067	0.012892477267539533	3.5958548110743686E-5	0.4759223155441124	-46.603062689890855	174.08648233762227	332.2394910929719	6.671759928702428	4.162421274483934	1.2107765487477373	1	2	8	3	1	0.20088378617088387	0.3325780556984961	0.279125813001455	0.18741234512916433	
900000	-1147.3430762116834	-1091.1490135681279	-56.194062643555554	-1091.1490135681279	13.387290939558943	4.172800486959938	0.015361079787297706	0.1746274374220513	0.015046044491191731	7.568191179582608E-6	0.17374260399810276	-34.91010049564932	111.96545017986085	3.139497512393913	0.36200320137278796	3.7406556083206137	5.863449465584507	3	2	5	4	1	0.1709305777692191	0.382780964497601	0.28800427071307794	0.15828418702010122	
1000000	-1153.6694941237113	-1084.5569541792895	-69.11253994442174	-1084.5569541792895	16.562645484487778	3.1148518790180173	0.009343578108945169	0.38828203982436876	0.008703576903572059	1.3904455719997166E-5	0.43890712817905403	-49.954850813938016	121.87588561762287	50.639313763548934	22.163907436565875	5.085428094306505	5.99973265238913	3	1	1	6	4	0.16650903168456255	0.3279594459543186	0.2859323633580785	0.2195991590030396	
1100000	-1172.3287660360727	-1083.5589453553155	-88.76982068075719	-1083.5589453553155	19.09352097033936	4.225234647816138	0.008389086351789235	0.3045650328032156	0.008900843837141726	9.104101016387161E-6	0.3542746358414817	-63.9532222901082	101.81426011558696	57.64474513815405	165.79563780155817	47.00903847673911	4.396314521396093	1	2	1	4	7	0.15917684626991402	0.3461809452094706	0.2931680337460077	0.2014741747746069	
1200000	-1159.8756488592287	-1085.7250716528667	-74.15057720636203	-1085.7250716528667	16.381258254306417	4.052503058095576	0.009518716145964081	0.09443873668182269	0.009706972064042672	6.876987882592426E-7	0.08671242503411916	-56.25535065854261	89.86646840981754	4.790379491336545	17.648056704606905	9.59855716448752	3.8152079950255446	5	1	2	5	2	0.17957123798471147	0.32270887902630224	0.3192463639827339	0.17847351900625155	
