#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:cluster9" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:cluster9" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:cluster9" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:cluster9" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:cluster9">
#                    <trait id="dateTrait.t:cluster9" spec="beast.evolution.tree.TraitSet" traitname="date">
#                ERR3198397_Europe_UK_2008.7650273224=2008.7650273224,
#NQPT01_Asia_China_2015.22191780822=2015.22191780822,
#SRR7800463_NorthAmerica_USA_2014.43561643836=2014.43561643836,
#M154_Asia_Malaysia_2010.5=2010.5,
#M172_Asia_Malaysia_2010.5=2010.5,
#NQPD01_Asia_China_2014.09315068493=2014.09315068493,
#SRR6871404_Oceania_Australia_2015.12465753425=2015.12465753425,
#NQPO01_Asia_China_2013.60273972603=2013.60273972603,
#NQPR01_Asia_China_2012.44535519126=2012.44535519126,
#NQQF01_Asia_China_2014.3698630137=2014.3698630137,
#10625_5#29_Europe_UK_2012.02459016393=2012.02459016393,
#NQPA01_Asia_China_2013.9397260274=2013.9397260274,
#NQPC01_Asia_China_2012.96174863388=2012.96174863388,
#10625_5#27_Europe_UK_2012.33606557377=2012.33606557377,
#NQPE01_Asia_China_2012.75683060109=2012.75683060109,
#10208_3#3_Europe_UK_2011.0301369863=2011.0301369863,
#NQPW01_Asia_China_2015.26575342466=2015.26575342466,
#NREJ01_Asia_China_2012.45628415301=2012.45628415301,
#10625_5#30_Europe_UK_2012.41530054645=2012.41530054645                
#                                    <taxa id="TaxonSet.cluster9" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.cluster9"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:cluster9" jeffreys="true" parameter="@bPopSizes.t:cluster9" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="KappaPrior.s:cluster9" name="distribution">
#            <parameter id="kappa.s:cluster9" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:cluster9" name="distribution">
#            <parameter id="ucldMean.c:cluster9" name="x">0.0025</parameter>
#            <Uniform id="Uniform.3" lower="0.0014" name="distr" upper="0.0037"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:cluster9" name="distribution">
#            <parameter id="ucldStdev.c:cluster9" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@cluster9" id="treeLikelihood.cluster9" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:cluster9">
#            <siteModel id="SiteModel.s:cluster9" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:cluster9" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:cluster9" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:cluster9" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:cluster9" kappa="@kappa.s:cluster9" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:cluster9" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:cluster9" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:cluster9" id="RelaxedClock.c:cluster9" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:cluster9">
#                <LogNormal S="@ucldStdev.c:cluster9" id="LogNormalDistributionModel.c:cluster9" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="36" id="rateCategories.c:cluster9" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	-2155.490230738542	-2045.7726548504609	-109.71757588808097	-2045.7726548504609	57.82404791737908	3.599107264250421	0.003000624521525673	0.0907462102445388	0.002913490494924338	8.312818151984119E-8	0.09607383280804989	-90.72039589026572	118.52624755921451	85.8652478503011	92.14772528957579	13.527987214120163	5.908103233766256	1	4	9	3	1	0.1935890536988641	0.31511955558394894	0.3000919603852864	0.19119943033189907	
100000	-2157.623160765014	-2041.079089736898	-116.54407102811585	-2041.079089736898	83.90050632172193	3.4689129452027325	0.0021871023811008694	0.0685887376683209	0.002232422091750437	1.4724976285549997E-8	0.054811888788762614	-95.83409689771604	52.33035976669892	164.5031352834118	134.86592019669615	8.239328750110078	11.529375128577474	10	2	1	3	2	0.20537607396106827	0.3296618198650264	0.29391717051168204	0.17104493566222173	
200000	-2158.495426071195	-2035.4302489043341	-123.06517716686098	-2035.4302489043341	85.25046217640265	3.1253687630129163	0.002849114285873768	0.42780177916794887	0.0023114742511393966	8.925144874840882E-7	0.3811210620549359	-96.80080649718765	165.0716970076243	88.89736892151342	199.12275621698112	216.089739901669	23.69680743079954	2	7	3	3	3	0.19565959753488676	0.3048967957266367	0.3137364090966308	0.18570719764184418	
300000	-2154.8048182087427	-2038.7291683006515	-116.0756499080914	-2038.7291683006515	69.97055740652794	3.3321728561904655	0.002221214364837408	0.18821482496699843	0.0022464735209268994	9.971506723531503E-8	0.1396002586298072	-94.97049955181748	72.38110326034251	79.48524254455853	169.65369201802167	20.84709213776235	13.599877304533287	7	2	5	1	3	0.2123004212144405	0.30934187828242904	0.31240470156336025	0.16595299893976864	
400000	-2149.9016564096164	-2034.1764597153701	-115.72519669424611	-2034.1764597153701	62.06703190001439	3.2087704582203624	0.0031430392641420557	0.1356835370927407	0.002995400130397174	1.9132253035648172E-7	0.13828056610757272	-92.78458797916065	52.900639978248634	120.57106002817463	192.67214103219456	103.83589247461612	24.41395747669021	2	3	1	8	4	0.20233649420047126	0.3220375649993394	0.27499532476174904	0.20063061603843882	
500000	-2141.9593469027263	-2028.6793492404436	-113.27999766228272	-2028.6793492404436	67.53918432126983	3.966255322321203	0.002552901198966117	0.11489314220292467	0.0027059656862341527	9.317860533665808E-8	0.11864662682910236	-93.5588085143652	35.69511380745739	36.98370100643664	52.052050482185535	102.09072836088495	20.768941316411027	3	2	2	7	4	0.22203232056258537	0.30863319151892427	0.2808389669624369	0.18849552095605188	
600000	-2158.8102519290624	-2029.6674470827031	-129.14280484635927	-2029.6674470827031	111.93066063979884	3.446602501290861	0.0017280990863037392	0.42760156648212705	0.0017668740930418796	6.755494809610722E-7	0.45013566377963565	-103.05257537097087	152.07929702352695	118.0542517856529	169.886212722012	219.10588596630708	46.115332835313545	4	5	1	4	4	0.23184029098244868	0.30808340796183237	0.2710070442487419	0.18906925680697545	
700000	-2152.596493754303	-2035.2369343048085	-117.35955944949451	-2035.2369343048085	56.6240863171979	3.2986772367485067	0.0031039434499260943	0.08201686781584211	0.0030972561419088797	6.608106700247777E-8	0.08280226302821254	-91.2707633694703	118.1950093412043	156.66692292302383	403.887749883252	254.23785316112176	26.085756361775875	4	6	1	2	5	0.18719411504202146	0.31333433196288557	0.3024713548927504	0.19700019810234104	
800000	-2155.8350150954216	-2039.3335851261581	-116.50142996926346	-2039.3335851261581	73.6097496124072	3.470802998145902	0.0026944611390080963	0.13495027488586372	0.002538005685992962	1.536184303756873E-7	0.14896977434313335	-91.43394268654487	79.44234758310277	80.63676080032813	263.608279564924	225.82218102338055	11.651551021344947	10	1	2	1	4	0.21344115962315058	0.32134007301200884	0.2797670194959677	0.18545174786887128	
900000	-2165.901368105483	-2038.7989004267502	-127.10246767873265	-2038.7989004267502	108.47418233578993	3.392934187622044	0.0016572594164933545	0.04359800564859295	0.001648623304959744	4.0922912456032246E-9	0.03850529807912485	-102.51193460491244	142.00717401165278	300.4256443862648	200.41511385200945	161.05295565943817	8.017975322811177	5	2	5	2	4	0.16039864106335253	0.3052048866658329	0.32132468372434864	0.2130717885464643	
1000000	-2159.2964131732047	-2041.302379872641	-117.99403330056381	-2041.302379872641	74.25379106638125	3.948322097841855	0.0025958504819718997	0.07047017184090426	0.002565039915783831	3.5557802078783616E-8	0.07350802718485241	-96.7226162047594	48.929375177588476	74.32986917306614	99.39975549136406	100.35557371141299	68.33814332875897	6	1	7	2	2	0.21509558444237692	0.29254586390712906	0.27104010003917856	0.2213184516113138	
1100000	-2165.862061090881	-2038.0558074552562	-127.80625363562501	-2038.0558074552562	87.00580762162745	3.612990265947021	0.0020521736503332747	0.0994601861965722	0.0020972529638662884	2.5730873953793635E-8	0.07761828236306718	-103.4965146473705	154.6023718889377	311.8135774756241	111.21408326796606	75.34026147639044	63.79526378913735	2	11	1	1	3	0.1832298292367325	0.3085719734720211	0.3033948417050648	0.20480335558617982	
1200000	-2156.8884570889372	-2033.0268257220682	-123.86163136686888	-2033.0268257220682	114.89929066558827	3.071372552965621	0.0015694172037563697	0.08972682106526869	0.001595035039777095	1.7899765508402614E-8	0.08478112324847624	-100.94637897294336	86.92760512390474	46.67827458291157	92.42366771880715	213.24992632826314	27.874137061998418	1	3	3	7	4	0.2304889446210348	0.3159665964547739	0.30159718687393405	0.15194727205025552	
