Clade.age	Number.of.locations
85.1634476465	7
84.4786298716	7
69.0691092962	6
48.5230661279	6
47.3727594221	5
43.5644892771	3
37.5760377038	3
36.3703433776	3
36.0681172416	3
31.1255609214	3
31.0350549059	2
27.9224194526	2
15.6842155837	1
10.2433461669	1
41.2394090722	2
44.7430308536	5
34.2594138218	4
13.2782341201	2
12.8053088691	2
12.400537236	2
31.8951444436	3
14.5935716653	2
13.3789503411	1
31.3306397925	2
47.5091539003	3
40.0291066017	2
21.0478205285	1
16.8590258368	1
10.206719913	1
34.5946844378	2
5.86312185848	1
54.4960302312	4
46.9274886706	3
37.5843362746	3
32.7326608446	2
32.5202218429	2
30.8097290286	2
30.7555994571	2
25.2640864299	1
21.4341569831	1
31.9066637905	1
14.6670548581	1
14.1569095291	1
11.2188597356	1
10.1074643164	1
13.8197806671	1
8.67823938171	1
6.27438391755	1
14.5055358266	1
12.5168906884	1
12.2796199379	1
9.98408207038	1
11.6159043442	1
33.2292120714	2
31.7479897373	2
17.4449590695	1
16.1993557702	1
15.6818400921	1
30.062274796	1
16.6295614662	1
84.2948912884	2
17.9402392323	1
83.8609649151	3
35.2446136118	3
32.9139177124	3
31.8424532656	2
31.249413177	2
14.5990468394	2
14.4479589527	1
13.3105155776	1
7.79572488198	1
7.15977781132	1
3.82265411684	1
23.8460495702	1
31.5074622834	2
23.6012430489	1
20.0283324153	1
7.59494028998	1
20.2282021444	1
12.7058473271	1
16.3694114124	1
77.3163424117	7
61.0962386165	6
43.8597933822	6
40.2366852979	3
29.1623135246	3
28.7763622868	1
24.9368011784	1
9.37277068938	1
24.0955205092	3
22.8008401373	3
16.5213536377	2
11.6981477673	1
32.723426374	2
40.5480339614	6
35.5787328295	4
20.6981512599	2
20.6141498243	1
19.2454023159	2
33.6863745415	3
10.689386018	2
10.0590998295	1
39.8662344597	4
38.8323614486	3
32.2999357136	2
18.9630883602	1
16.3089740985	1
9.14879895568	1
35.0735311909	2
5.51728565124	1
26.5716122836	2
42.0113821218	4
37.3295326405	3
27.8507624102	3
27.5503736219	3
25.3038110399	2
24.8973198842	2
21.6373314872	1
23.6104932041	2
23.5383211889	2
12.0107523714	1
11.7922916502	1
6.9982995516	1
10.4281366188	1
9.42378067179	1
8.85193205542	1
10.0320703532	1
8.69719258755	1
6.98320185393	1
9.85559601289	1
9.699771452	1
8.52917697488	1
25.7485933944	2
24.2181462038	2
12.815298674	1
10.0466286796	1
9.62349152418	1
26.6103025382	1
30.786495744	1
18.6158325774	1
76.2616085376	4
29.8926517278	3
29.0923276201	3
27.1643033531	3
16.6303305343	2
15.2212659433	1
12.6146974217	1
5.52763861583	1
4.34574668048	1
26.8172735456	2
24.7895812308	1
3.57890141194	1
27.4356297057	2
24.364960935	1
16.4510370502	1
5.53926540149	1
15.6215397398	1
12.1808694319	1
11.1124435496	1
76.0428965818	3
73.3385359101	2
13.7487274342	1
91.9853454029	7
78.5994348966	6
41.2162889617	6
33.8926735805	3
28.9825659372	3
26.9446297503	3
26.8427817633	3
25.2160239205	3
24.8463213161	2
21.5813027555	2
14.6424956961	1
9.449617001	1
30.1283460839	2
39.9890927992	6
38.757040316	5
36.4047039472	5
26.4811059521	4
10.6150208336	2
7.48899949356	2
10.0188024016	1
23.1101727563	3
10.9258144847	2
9.17115368448	2
25.8040748726	2
33.3875190561	2
20.0079991123	1
15.734391558	1
7.87081280454	1
26.7751856243	2
4.7629630464	1
49.4302400859	4
43.9950559501	3
27.5238525975	3
26.9427723221	2
24.5246354504	2
22.296486504	2
22.0364691822	2
19.3444571822	1
10.8830916716	1
10.8101477012	1
10.7927232753	1
10.7720495205	1
10.605417495	1
8.77210135962	1
6.59202463138	1
8.60423923514	1
7.74950088826	1
9.98802469977	1
9.7446671175	1
7.51070129277	1
26.3945159032	2
